2025-04-29 16:10:57,704 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:11:00,899 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:12:34,226 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-29 16:13:29,374 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:13:40,918 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:13:43,896 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:16:02,959 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:16:14,343 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:16:17,401 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:16:49,856 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:17:01,255 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:17:04,561 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:18:01,909 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:18:09,407 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:18:12,391 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:19:28,851 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:19:36,268 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:19:39,451 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:21:57,900 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-04-29 16:22:07,990 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-04-29 16:22:11,102 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-04-29 16:23:16,862 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
