2025-04-29 14:23:47,282 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.093, 0.138, 2875.097)
2025-04-29 14:23:47,284 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:50,350 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:50,356 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 5, 14)
2025-04-29 14:23:50,357 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(11), np.int64(6), np.int64(15)) with prob = 0.1482207
2025-04-29 14:23:50,358 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.101, -0.277, 2858.115)
2025-04-29 14:23:50,359 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:53,287 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:53,298 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 5, 14)
2025-04-29 14:23:53,300 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(5), np.int64(14)) with prob = 0.9744674
2025-04-29 14:23:53,302 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.05806220442532529
2025-04-29 14:23:53,303 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.728, 0.333, 3348.115)
2025-04-29 14:23:53,303 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, 0.305, 110.000)
2025-04-29 14:23:53,310 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.101, 0.028, 3238.115)
2025-04-29 14:23:53,312 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:56,408 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:56,421 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 6, 16)
