2025-04-21 22:23:54,209 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-21 22:23:55,494 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:23:56,071 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:25:35,448 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:42,459 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:43,398 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:43,742 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:43,888 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:44,054 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:51,127 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:51,932 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:52,741 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:25:57,170 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-21 22:25:57,666 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-21 22:25:58,120 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:25:58,576 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:25:59,096 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:25:59,458 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:26:00,230 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:26:00,782 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:26:01,830 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:26:02,214 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:26:03,102 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:26:04,022 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:26:05,080 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:26:05,428 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:26:06,150 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:26:07,204 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:26:11,316 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-21 22:26:11,317 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-21 22:26:13,642 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-21 22:26:13,642 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-21 22:26:13,643 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-21 22:26:13,643 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 22:26:13,643 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 22:26:13,643 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 22:26:13,643 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 22:26:15,763 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:26:16,538 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:26:54,581 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:27:13,634 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-21 22:27:14,452 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-21 22:27:15,464 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-21 22:27:16,386 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-21 22:27:20,800 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-21 22:27:30,379 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:27:30,965 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:27:31,713 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
