2025-01-27 12:29:13,744 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2025-01-27 12:29:13,745 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2025-01-27 12:29:13,864 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2025-01-27 12:29:27,926 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 12:29:31,161 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:29:34,238 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 12:36:50,374 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 12:39:51,501 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:40:11,274 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-27 12:40:35,259 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:44:19,630 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:44:22,518 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 12:47:10,805 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 12:48:11,649 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 12:48:14,751 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 13:04:43,913 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 13:13:25,089 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 13:13:28,092 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 13:24:50,749 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 13:30:01,821 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 13:30:05,177 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 13:34:48,801 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 13:34:59,435 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 13:35:02,719 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 13:36:42,122 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 13:38:41,172 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 13:38:44,150 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 13:52:53,316 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 13:54:58,666 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 13:55:01,651 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 14:00:09,551 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-27 14:03:02,143 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 14:03:10,138 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 14:03:15,169 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 14:05:26,972 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 14:05:29,401 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 14:05:40,760 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 14:11:28,596 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 14:12:35,450 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 14:12:38,572 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
